id, date, sales, stock
64,2022-12-09,345,397
63,2022-12-09,56,100
17,2022-12-09,299,358
95,2022-12-09,310,855
97,2022-12-09,289,335
88,2022-12-09,293,536
11,2022-12-09,332,465
86,2022-12-09,40,65
7,2022-12-09,333,751
69,2022-12-09,208,595
64,2023-04-28,157,261
63,2023-04-28,230,610
17,2023-04-28,164,687
95,2023-04-28,353,899
97,2023-04-28,12,13
88,2023-04-28,249,477
11,2023-04-28,130,947
86,2023-04-28,57,574
7,2023-04-28,129,255
69,2023-04-28,620,962
64,2023-10-19,292,861
63,2023-10-19,150,482
17,2023-10-19,358,625
95,2023-10-19,111,264
97,2023-10-19,879,991
88,2023-10-19,242,457
11,2023-10-19,517,766
86,2023-10-19,639,691
7,2023-10-19,545,613
69,2023-10-19,88,530
64,2023-12-13,67,658
63,2023-12-13,102,424
17,2023-12-13,522,766
95,2023-12-13,507,525
97,2023-12-13,458,503
88,2023-12-13,159,744
11,2023-12-13,430,585
86,2023-12-13,99,197
7,2023-12-13,38,979
69,2023-12-13,29,265
64,2022-10-17,129,650
63,2022-10-17,96,354
17,2022-10-17,711,860
95,2022-10-17,186,286
97,2022-10-17,227,873
88,2022-10-17,3,637
11,2022-10-17,143,548
86,2022-10-17,535,597
7,2022-10-17,195,777
69,2022-10-17,312,422
64,2022-06-16,9,18
63,2022-06-16,680,707
17,2022-06-16,549,598
95,2022-06-16,110,376
97,2022-06-16,722,858
88,2022-06-16,17,56
11,2022-06-16,26,434
86,2022-06-16,314,583
7,2022-06-16,6,15
69,2022-06-16,405,509
64,2022-12-27,9,74
63,2022-12-27,256,792
17,2022-12-27,12,42
95,2022-12-27,28,124
97,2022-12-27,74,683
88,2022-12-27,7,38
11,2022-12-27,723,998
86,2022-12-27,274,782
7,2022-12-27,69,280
69,2022-12-27,759,858
64,2023-05-07,13,257
63,2023-05-07,151,661
17,2023-05-07,330,353
95,2023-05-07,309,932
97,2023-05-07,82,215
88,2023-05-07,37,65
11,2023-05-07,243,331
86,2023-05-07,75,489
7,2023-05-07,71,109
69,2023-05-07,29,209
64,2022-09-08,10,42
63,2022-09-08,398,622
17,2022-09-08,9,10
95,2022-09-08,283,569
97,2022-09-08,700,778
88,2022-09-08,10,62
11,2022-09-08,881,905
86,2022-09-08,185,376
7,2022-09-08,167,484
69,2022-09-08,204,942
64,2022-04-29,20,248
63,2022-04-29,58,119
17,2022-04-29,129,797
95,2022-04-29,487,509
97,2022-04-29,161,497
88,2022-04-29,524,959
11,2022-04-29,228,319
86,2022-04-29,38,134
7,2022-04-29,565,969
69,2022-04-29,282,377
64,2022-10-09,138,566
63,2022-10-09,581,658
17,2022-10-09,211,874
95,2022-10-09,907,928
97,2022-10-09,97,137
88,2022-10-09,85,959
11,2022-10-09,694,979
86,2022-10-09,187,578
7,2022-10-09,27,68
69,2022-10-09,10,39
64,2023-05-30,93,553
63,2023-05-30,696,972
17,2023-05-30,126,361
95,2023-05-30,57,97
97,2023-05-30,704,739
88,2023-05-30,407,829
11,2023-05-30,75,718
86,2023-05-30,20,50
7,2023-05-30,245,774
69,2023-05-30,839,989
64,2022-09-26,849,891
63,2022-09-26,7,78
17,2022-09-26,60,237
95,2022-09-26,121,392
97,2022-09-26,330,464
88,2022-09-26,214,280
11,2022-09-26,116,212
86,2022-09-26,609,982
7,2022-09-26,80,110
69,2022-09-26,24,135
64,2022-06-14,89,111
63,2022-06-14,677,730
17,2022-06-14,288,341
95,2022-06-14,306,316
97,2022-06-14,32,803
88,2022-06-14,398,432
11,2022-06-14,19,578
86,2022-06-14,503,572
7,2022-06-14,580,740
69,2022-06-14,68,376
64,2022-06-25,123,411
63,2022-06-25,20,21
17,2022-06-25,132,991
95,2022-06-25,81,82
97,2022-06-25,5,607
88,2022-06-25,23,660
11,2022-06-25,4,62
86,2022-06-25,124,304
7,2022-06-25,29,610
69,2022-06-25,586,680
64,2023-04-16,855,979
63,2023-04-16,455,623
17,2023-04-16,2,589
95,2023-04-16,133,818
97,2023-04-16,615,678
88,2023-04-16,150,419
11,2023-04-16,52,230
86,2023-04-16,343,390
7,2023-04-16,338,902
69,2023-04-16,180,833
64,2022-12-24,29,71
63,2022-12-24,61,72
17,2022-12-24,60,370
95,2022-12-24,766,840
97,2022-12-24,344,402
88,2022-12-24,211,813
11,2022-12-24,639,933
86,2022-12-24,375,801
7,2022-12-24,166,601
69,2022-12-24,179,893
64,2022-04-20,606,943
63,2022-04-20,212,214
17,2022-04-20,58,98
95,2022-04-20,228,917
97,2022-04-20,625,743
88,2022-04-20,173,268
11,2022-04-20,167,924
86,2022-04-20,70,101
7,2022-04-20,7,833
69,2022-04-20,99,471
64,2023-06-03,176,755
63,2023-06-03,219,557
17,2023-06-03,10,135
95,2023-06-03,400,731
97,2023-06-03,267,761
88,2023-06-03,186,196
11,2023-06-03,149,444
86,2023-06-03,83,155
7,2023-06-03,430,620
69,2023-06-03,50,114
64,2022-07-06,17,331
63,2022-07-06,30,891
17,2022-07-06,106,388
95,2022-07-06,121,275
97,2022-07-06,610,766
88,2022-07-06,790,797
11,2022-07-06,580,853
86,2022-07-06,184,305
7,2022-07-06,512,973
69,2022-07-06,66,777
64,2023-12-08,462,778
63,2023-12-08,499,505
17,2023-12-08,34,161
95,2023-12-08,552,802
97,2023-12-08,71,165
88,2023-12-08,19,51
11,2023-12-08,216,377
86,2023-12-08,500,845
7,2023-12-08,4,64
69,2023-12-08,29,64
64,2023-12-22,319,376
63,2023-12-22,583,888
17,2023-12-22,230,845
95,2023-12-22,11,104
97,2023-12-22,44,91
88,2023-12-22,222,287
11,2023-12-22,27,289
86,2023-12-22,96,489
7,2023-12-22,63,314
69,2023-12-22,57,63
64,2023-05-13,94,164
63,2023-05-13,1,2
17,2023-05-13,104,817
95,2023-05-13,259,387
97,2023-05-13,99,671
88,2023-05-13,798,825
11,2023-05-13,219,450
86,2023-05-13,311,441
7,2023-05-13,86,111
69,2023-05-13,65,602
64,2023-06-25,805,997
63,2023-06-25,48,418
17,2023-06-25,165,243
95,2023-06-25,107,169
97,2023-06-25,157,184
88,2023-06-25,284,575
11,2023-06-25,104,111
86,2023-06-25,35,77
7,2023-06-25,464,556
69,2023-06-25,78,375
64,2022-10-16,288,599
63,2022-10-16,85,106
17,2022-10-16,461,512
95,2022-10-16,198,935
97,2022-10-16,238,318
88,2022-10-16,885,969
11,2022-10-16,68,155
86,2022-10-16,6,20
7,2022-10-16,270,336
69,2022-10-16,236,237
64,2023-04-10,10,33
63,2023-04-10,215,954
17,2023-04-10,33,181
95,2023-04-10,97,217
97,2023-04-10,362,727
88,2023-04-10,142,154
11,2023-04-10,720,937
86,2023-04-10,479,860
7,2023-04-10,24,317
69,2023-04-10,700,898
64,2022-10-05,551,885
63,2022-10-05,625,735
17,2022-10-05,270,323
95,2022-10-05,442,566
97,2022-10-05,118,250
88,2022-10-05,425,640
11,2022-10-05,1,211
86,2022-10-05,13,539
7,2022-10-05,0,465
69,2022-10-05,32,468
64,2023-05-10,38,154
63,2023-05-10,509,619
17,2023-05-10,527,556
95,2023-05-10,326,808
97,2023-05-10,471,534
88,2023-05-10,408,738
11,2023-05-10,81,643
86,2023-05-10,137,398
7,2023-05-10,11,568
69,2023-05-10,598,743
64,2023-11-18,1,391
63,2023-11-18,21,810
17,2023-11-18,243,291
95,2023-11-18,326,681
97,2023-11-18,367,508
88,2023-11-18,41,281
11,2023-11-18,49,67
86,2023-11-18,121,146
7,2023-11-18,81,120
69,2023-11-18,27,29
64,2023-03-20,21,461
63,2023-03-20,351,692
17,2023-03-20,38,726
95,2023-03-20,167,494
97,2023-03-20,889,892
88,2023-03-20,891,975
11,2023-03-20,389,463
86,2023-03-20,31,462
7,2023-03-20,260,638
69,2023-03-20,54,636
